"timestep","S","I","C","v"
162,0.362457420107658,0.00261071748195534,0.627542579892342,4.10853172303959e-07
163,0.362220928908895,0.00254044129011189,0.627779071091105,4.08970278511868e-07
164,0.361990951790115,0.00247190868850199,0.628009048209885,4.07151650319e-07
165,0.36176731884359,0.0024050847075995,0.62823268115641,4.05394843489282e-07
166,0.361549864051381,0.00233993459711914,0.628450135948619,4.03697521842301e-07
167,0.361338425228026,0.00227642385756317,0.628661574771974,4.02057451590919e-07
168,0.361132843962032,0.00221451826926339,0.628867156037968,4.00472496026646e-07
169,0.360932965556335,0.00215418391903927,0.629067034443665,3.98940610528382e-07
170,0.360738638967895,0.0020953872245897,0.629261361032105,3.97459837872033e-07
171,0.360549716746578,0.00203809495673251,0.629450283253422,3.9602830382028e-07
172,0.360366054973465,0.00198227425960232,0.629633945026535,3.94644212973343e-07
173,0.360187513198723,0.00192789266891419,0.629812486801277,3.93305844863083e-07
174,0.360013954379159,0.00187491812839632,0.629986045620841,3.92011550274079e-07
175,0.359845244815577,0.00182331900449225,0.630154755184424,3.907597477766e-07
176,0.359681254090036,0.00177306409942872,0.630318745909964,3.89548920457454e-07
177,0.359521855003123,0.00172412266274234,0.630478144996877,3.8837761283579e-07
178,0.359366923511315,0.0016764644013538,0.630633076488684,3.87244427951815e-07
179,0.359216338664527,0.00163005948827638,0.630783661335473,3.86148024617343e-07
180,0.35906998254392,0.00158487857004003,0.63093001745608,3.85087114817799e-07
181,0.358927740200042,0.00154089277291069,0.631072259799958,3.84060461256121e-07
182,0.358789499591371,0.0014980737079798,0.631210500408629,3.83066875029641e-07
183,0.35865515152331,0.00145639347519659,0.63134484847669,3.82105213431656e-07
184,0.358524589587704,0.00141582466641175,0.631475410412296,3.81174377870005e-07
185,0.358397710102916,0.00137634036749862,0.631602289897084,3.80273311895464e-07
186,0.358274412054521,0.00133791415961445,0.631725587945479,3.79400999333299e-07
187,0.358154597036644,0.0013005201196615,0.631845402963356,3.78556462511742e-07
188,0.358038169193989,0.00126413282000492,0.631961830806011,3.77738760581615e-07
189,0.357925035164598,0.00122872732750131,0.632074964835402,3.76946987921667e-07
190,0.357815104023349,0.0011942792018895,0.632184895976651,3.761802726246e-07
191,0.357708287226246,0.00116076449359213,0.632291712773754,3.75437775059064e-07
192,0.357604498555497,0.00112815974097415,0.632395501444503,3.74718686503207e-07
193,0.357503654065425,0.00109644196710216,0.632496345934575,3.74022227845689e-07
194,0.35740567202921,0.0010655886760458,0.63259432797079,3.73347648350296e-07
195,0.35731047288649,0.00103557784876038,0.63268952711351,3.72694224480548e-07
196,0.357217979191818,0.00100638793858792,0.632782020808182,3.72061258780957e-07
197,0.357128115564009,0.000977997866410961,0.63287188443599,3.71448078811745e-07
198,0.357040808636359,0.000950387015492697,0.632959191363641,3.70854036134095e-07
199,0.356955987007754,0.000923535226033867,0.633044012992246,3.7027850534314e-07
200,0.356873581194681,0.000897422789475915,0.63312641880532,3.69720883146104e-07
201,0.356793523584124,0.000872030442577483,0.633206476415876,3.6517079800998e-07
