This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    35416
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   109200

Total number of variables............................:     6010
                     variables with only lower bounds:     4207
                variables with lower and upper bounds:     1803
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4215
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  94r 6.3282882e+05 9.98e+03 3.85e+03  -3.6 8.11e+02  -1.8 8.22e-02 1.12e-02f  1
  95r 6.3284634e+05 9.98e+03 3.85e+03  -3.6 1.26e+03  -2.3 3.15e-05 3.95e-05f  1
  96r 6.3284808e+05 9.98e+03 3.85e+03  -3.6 1.97e+02  -1.0 1.79e-04 2.43e-05f  1
  97r 6.3284988e+05 9.98e+03 3.85e+03  -3.6 4.75e+02  -1.4 8.16e-06 1.04e-05f  1
  98r 6.3284990e+05 9.98e+03 3.85e+03  -3.6 8.97e+02  -1.9 4.95e-08 7.84e-08f  1
  99r 6.3285069e+05 9.98e+03 3.85e+03  -3.6 1.04e+03  -1.5 3.23e-04 4.18e-06f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100r 6.4198787e+05 9.99e+03 3.39e+03  -3.6 9.53e+02  -2.0 7.06e-06 2.66e-02f  1
 101r 6.4342609e+05 9.99e+03 3.34e+03  -3.6 5.51e+02  -1.5 3.22e-03 7.20e-03f  1
 102r 6.4532187e+05 9.99e+03 3.30e+03  -3.6 2.62e+02  -1.1 4.15e-02 1.98e-02f  1
 103r 6.4737857e+05 9.99e+03 3.20e+03  -3.6 5.90e+02  -1.6 8.65e-05 9.59e-03f  1
 104r 6.4779383e+05 9.99e+03 3.37e+03  -3.6 2.87e+02  -1.2 1.12e-01 3.97e-03f  1
 105r 6.4899169e+05 9.99e+03 3.31e+03  -3.6 6.31e+02  -1.6 5.53e-04 5.22e-03f  1
 106r 6.4899821e+05 9.99e+03 3.36e+03  -3.6 1.05e+03  -2.1 3.00e-03 1.71e-05f  1
 107r 6.5706754e+05 1.00e+04 2.97e+03  -3.6 6.75e+02  -1.7 5.46e-06 3.29e-02f  1
 108r 6.5710025e+05 1.00e+04 2.97e+03  -3.6 1.11e+03  -2.2 3.47e-04 8.35e-05f  1
 109r 6.6280139e+05 1.00e+04 2.97e+03  -3.6 7.11e+02  -1.7 2.87e-02 2.21e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110r 6.6288974e+05 1.00e+04 2.96e+03  -3.6 1.07e+04  -2.2 1.17e-06 2.18e-04f  1
 111r 6.6290991e+05 1.00e+04 2.99e+03  -3.6 7.48e+02  -1.8 2.97e-03 7.42e-05f  1
 112r 6.6353327e+05 1.00e+04 2.97e+03  -3.6 4.03e+02  -1.4 8.48e-04 4.25e-03f  1
 113r 6.6544201e+05 1.00e+04 2.88e+03  -3.6 7.92e+02  -1.9 9.02e-04 6.63e-03f  1
 114r 6.6584763e+05 1.00e+04 3.26e+03  -3.6 4.37e+02  -1.4 8.42e-02 2.55e-03f  1
 115r 6.6846278e+05 1.00e+04 3.23e+03  -3.6 8.34e+02  -1.9 7.85e-03 8.64e-03f  1
 116r 6.6847577e+05 1.00e+04 3.23e+03  -3.6 4.71e+02  -1.5 7.51e-04 7.57e-05f  1
 117r 6.7351711e+05 1.00e+04 4.97e+03  -3.6 8.70e+02  -2.0 1.61e-01 1.59e-02f  1
 118r 6.7394007e+05 1.00e+04 4.95e+03  -3.6 5.05e+02  -1.5 2.12e-04 2.30e-03f  1
 119r 6.7414451e+05 1.00e+04 5.13e+03  -3.6 9.04e+02  -2.0 1.61e-02 6.23e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120r 7.0502026e+05 1.00e+04 3.63e+03  -3.6 5.44e+02  -1.6 2.96e-03 1.56e-01f  1
 121r 7.0518706e+05 1.00e+04 3.71e+03  -3.6 8.94e+02  -2.1 7.01e-03 5.16e-04f  1
 122r 7.0913222e+05 1.00e+04 4.44e+03  -3.6 5.52e+02  -1.6 1.51e-01 1.97e-02f  1
 123r 7.1628931e+05 1.00e+04 4.13e+03  -3.6 2.72e+02  -1.2 1.01e-01 7.24e-02f  1
 124r 7.1629327e+05 1.00e+04 4.14e+03  -3.6 5.79e+02  -1.7 2.65e-03 1.89e-05f  1
 125r 7.2739701e+05 1.00e+04 3.68e+03  -3.6 2.95e+02  -1.3 7.17e-02 1.04e-01f  1
 126r 7.2740522e+05 1.00e+04 4.22e+03  -3.6 6.06e+02  -1.7 7.43e-02 3.74e-05f  1
 127r 7.4281252e+05 1.00e+04 3.47e+03  -3.6 3.16e+02  -1.3 4.45e-05 1.34e-01f  1
 128r 7.4283641e+05 1.00e+04 3.87e+03  -3.6 6.25e+02  -1.8 5.10e-02 1.06e-04f  1
 129r 7.4675154e+05 1.00e+04 4.85e+03  -3.6 3.34e+02  -1.4 5.76e-01 3.23e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130r 7.5714167e+05 1.00e+04 4.99e+03  -3.6 6.58e+02  -1.8 9.36e-02 4.37e-02f  1
 131r 7.6243143e+05 1.00e+04 4.87e+03  -3.6 3.53e+02  -1.4 1.08e-01 4.13e-02f  1
 132r 7.6256426e+05 1.00e+04 4.98e+03  -3.6 6.74e+02  -1.9 1.53e-02 5.46e-04f  1
 133r 7.8782245e+05 1.00e+04 3.74e+03  -3.6 3.80e+02  -1.5 2.90e-03 1.84e-01f  1
 134r 7.9002979e+05 1.00e+04 3.63e+03  -3.6 1.67e+02  -1.0 2.22e-03 3.68e-02f  1
 135r 7.9056751e+05 1.00e+04 3.31e+03  -3.6 6.80e+01  -0.6 1.15e-01 2.18e-02f  1
 136r 7.9395621e+05 1.00e+04 2.30e+03  -3.6 2.65e+01  -0.2 3.02e-01 3.53e-01f  1
 137r 7.9532192e+05 1.00e+04 1.90e+03  -3.6 7.52e+01  -0.7 3.21e-01 5.01e-02f  1
 138r 7.9873385e+05 1.00e+04 2.87e+02  -3.6 2.93e+01  -0.2 1.00e+00 3.21e-01f  1
 139r 8.0553783e+05 1.00e+04 1.40e+02  -3.6 8.30e+01  -0.7 7.66e-02 2.27e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140r 8.1609615e+05 1.00e+04 4.85e+01  -3.6 3.21e+01  -0.3 1.00e+00 9.10e-01f  1
 141r 8.1740694e+05 1.00e+04 1.88e+02  -3.6 8.86e+01  -0.8 1.30e-01 4.09e-02f  1
 142r 8.3002284e+05 1.00e+04 1.61e+01  -3.6 3.49e+01  -0.3 1.00e+00 1.00e+00f  1
 143r 8.3329047e+05 1.00e+04 1.21e+02  -3.6 9.53e+01  -0.8 1.64e-01 9.50e-02f  1
 144r 8.4685390e+05 1.00e+04 1.54e+01  -3.6 3.75e+01  -0.4 1.00e+00 1.00e+00f  1
 145r 8.5645928e+05 1.00e+04 1.50e+01  -3.6 1.01e+02  -0.9 2.59e-01 2.63e-01f  1
 146r 8.6292645e+05 1.00e+04 3.98e+02  -3.6 3.95e+01  -0.4 1.00e+00 4.54e-01f  1
 147r 8.7142848e+05 1.00e+04 1.86e+02  -3.6 1.08e+02  -0.9 1.41e-01 2.19e-01f  1
 148r 8.7431146e+05 1.00e+04 6.35e+02  -3.6 4.24e+01  -0.5 1.00e+00 1.89e-01f  1
 149r 8.8062735e+05 1.00e+04 3.75e+02  -3.6 1.16e+02  -1.0 4.28e-02 1.51e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150r 8.8684093e+05 1.00e+04 5.34e+02  -3.6 4.62e+01  -0.5 1.00e+00 3.74e-01f  1
 151r 8.8684470e+05 1.00e+04 1.38e+03  -3.6 1.23e+02  -1.0 4.82e-01 8.48e-05f  1
 152r 8.9166365e+05 1.00e+04 7.26e+02  -3.6 5.05e+01  -0.6 1.00e+00 2.65e-01f  1
 153r 9.0752127e+05 1.00e+04 4.76e+02  -3.6 1.34e+02  -1.1 3.09e-01 3.29e-01f  1
 154r 9.0862311e+05 1.00e+04 9.34e+02  -3.6 5.28e+01  -0.6 1.00e+00 5.80e-02f  1
 155r 9.2602967e+05 1.00e+04 2.81e+02  -3.6 1.40e+02  -1.1 4.54e-02 3.45e-01f  1
 156r 9.2610122e+05 1.00e+04 1.03e+03  -3.6 5.54e+01  -0.7 1.00e+00 3.59e-03f  1
 157r 9.2664978e+05 1.00e+04 1.01e+03  -3.6 1.46e+02  -1.2 2.28e-03 1.04e-02f  1
 158r 9.3669967e+05 1.00e+04 6.30e+02  -3.6 6.16e+01  -0.7 1.00e+00 4.54e-01f  1
 159r 9.3756821e+05 1.00e+04 6.87e+02  -3.6 1.54e+02  -1.2 4.56e-02 1.56e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160r 9.3760697e+05 1.00e+04 7.12e+02  -3.6 3.31e+02  -1.7 4.84e-03 3.30e-04f  1
 161r 9.4093176e+05 1.00e+04 9.32e+02  -3.6 1.69e+02  -1.3 1.61e-01 5.49e-02f  1
 162r 9.4119554e+05 1.00e+04 1.13e+03  -3.6 7.26e+01  -0.8 5.08e-01 1.01e-02f  1
 163r 9.4429369e+05 1.00e+04 1.17e+03  -3.6 1.82e+02  -1.3 8.58e-02 4.70e-02f  1
 164r 9.4721758e+05 1.00e+04 1.34e+03  -3.6 7.96e+01  -0.9 1.00e+00 1.02e-01f  1
 165r 9.5467860e+05 1.00e+04 2.07e+02  -3.6 3.17e+01  -0.5 1.00e+00 6.51e-01f  1
 166r 9.6960869e+05 1.00e+04 1.61e+02  -3.6 8.49e+01  -1.0 2.93e-01 4.86e-01f  1
 167r 9.7988426e+05 1.00e+04 7.47e+01  -3.6 3.24e+01  -0.5 1.00e+00 8.76e-01f  1
 168r 9.7990560e+05 1.00e+04 9.66e+02  -3.6 8.49e+01  -1.0 5.90e-01 6.96e-04f  1
 169r 9.9432582e+05 1.00e+04 2.20e+02  -3.6 2.01e+02  -1.5 9.72e-05 1.98e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170r 1.0103321e+06 1.00e+04 2.53e+02  -3.6 8.80e+01  -1.1 2.49e-01 5.03e-01f  1
 171r 1.0103421e+06 1.00e+04 6.31e+02  -3.6 3.37e+01  -0.6 1.00e+00 8.22e-04f  1
 172r 1.0128246e+06 1.00e+04 9.25e+02  -3.6 9.00e+01  -1.1 4.00e-01 7.63e-02f  1
 173r 1.0238047e+06 1.00e+04 1.26e+02  -3.6 3.71e+01  -0.7 1.00e+00 8.18e-01f  1
 174r 1.0340356e+06 1.00e+04 1.41e+02  -3.6 9.26e+01  -1.2 3.39e-01 3.06e-01f  1
 175r 1.0421282e+06 1.00e+04 2.74e+02  -3.6 3.70e+01  -0.7 1.00e+00 6.05e-01f  1
 176r 1.0422698e+06 1.00e+04 3.77e+02  -3.6 9.20e+01  -1.2 7.56e-02 4.26e-03f  1
 177r 1.0505477e+06 1.00e+04 6.63e+02  -3.6 1.98e+02  -1.7 2.15e-01 1.16e-01f  1
 178r 1.0526855e+06 1.00e+04 5.52e+02  -3.6 9.59e+01  -1.3 1.66e-04 6.17e-02f  1
 179r 1.0599754e+06 1.00e+04 3.92e+02  -3.6 4.10e+01  -0.8 1.00e+00 4.92e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180r 1.0690817e+06 1.00e+04 1.06e+01  -3.6 9.89e+01  -1.3 6.31e-02 2.55e-01f  1
 181r 1.0690837e+06 1.00e+04 3.59e+02  -3.6 1.90e+02  -1.8 9.79e-02 2.99e-05f  1
 182r 1.0796025e+06 1.00e+04 9.10e+01  -3.6 3.92e+02    -  4.00e-02 7.43e-02f  1
 183r 1.0907622e+06 1.00e+04 4.91e+02  -3.6 9.40e+01  -1.4 1.84e-04 3.29e-01f  1
 184r 1.0907627e+06 1.00e+04 4.45e+02  -3.6 1.72e+02  -1.8 1.23e-02 8.88e-06f  1
 185r 1.0907679e+06 1.00e+04 6.55e+02  -3.6 3.33e+02    -  1.64e-01 4.28e-05f  1
 186r 1.1111797e+06 1.00e+04 7.29e+01  -3.6 3.32e+02    -  8.65e-02 1.70e-01f  1
 187r 1.1132171e+06 1.00e+04 1.30e+02  -3.6 2.76e+02    -  3.20e-02 2.05e-02f  1
 188r 1.1132216e+06 1.00e+04 1.30e+02  -3.6 2.70e+02    -  4.36e-05 4.62e-05f  1
 189r 1.1327655e+06 1.00e+04 1.31e+01  -3.6 2.70e+02    -  1.77e-01 2.01e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190r 1.1337226e+06 1.00e+04 1.35e+01  -3.6 2.16e+02    -  1.87e-02 1.23e-02f  1
 191r 1.1362798e+06 1.00e+04 1.20e+02  -3.6 6.02e+01  -1.4 7.16e-04 1.18e-01f  1
 192r 1.1362808e+06 1.00e+04 8.19e+01  -3.6 1.12e+02  -1.9 9.02e-02 2.46e-05f  1
 193r 1.1390454e+06 1.00e+04 6.31e+01  -3.6 2.06e+02    -  1.51e-05 3.73e-02f  1
 194r 1.1404415e+06 1.00e+04 4.19e+02  -3.6 6.08e+01  -1.5 4.57e-01 6.36e-02f  1
 195r 1.1423569e+06 1.00e+04 3.18e+02  -3.6 1.97e+02    -  1.16e-05 2.70e-02f  1
 196r 1.1423652e+06 1.00e+04 5.10e+02  -3.6 2.69e+01  -1.0 1.00e+00 8.59e-04f  1
 197r 1.1504879e+06 1.00e+04 1.57e+02  -3.6 1.89e+02    -  2.42e-02 1.19e-01f  1
 198r 1.1586267e+06 1.00e+04 7.07e+01  -3.6 1.67e+02    -  1.13e-01 1.35e-01f  1
 199r 1.1598602e+06 1.00e+04 9.24e+00  -3.6 4.80e+01  -1.5 2.05e-04 7.12e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
