This is Ipopt version 3.14.17, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:    34816
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   101400

Total number of variables............................:     6010
                     variables with only lower bounds:     4207
                variables with lower and upper bounds:     1803
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4215
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  79r 4.4948116e+05 9.99e+03 7.31e+03  -5.4 1.09e+03  -1.4 1.30e-02 4.09e-08f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80r 4.5651920e+05 9.99e+03 7.05e+03  -5.4 3.01e+03  -1.9 1.92e-03 6.47e-03f  1
  81r 4.6103026e+05 9.99e+03 6.87e+03  -5.4 1.22e+03  -1.4 2.68e-03 1.02e-02f  1
  82r 4.7035107e+05 9.99e+03 6.42e+03  -5.4 3.33e+03  -1.9 2.79e-06 7.74e-03f  1
  83r 4.7067084e+05 9.99e+03 7.02e+03  -5.4 1.36e+03  -1.5 3.65e-02 6.48e-04f  1
  84r 4.7596379e+05 9.99e+03 6.76e+03  -5.4 3.67e+03  -2.0 5.07e-08 3.98e-03f  1
  85r 4.7597242e+05 9.99e+03 7.72e+03  -5.4 1.52e+03  -1.5 4.94e-02 1.56e-05f  1
  86r 5.1551442e+05 1.00e+04 6.08e+03  -5.4 5.95e+02  -1.1 3.38e-02 1.84e-01f  1
  87r 5.1553000e+05 1.00e+04 6.16e+03  -5.4 1.71e+03  -1.6 3.25e-03 2.53e-05f  1
  88r 5.1906730e+05 1.00e+04 6.00e+03  -5.4 6.66e+02  -1.2 5.25e-05 1.47e-02f  1
  89r 5.1907105e+05 1.00e+04 6.52e+03  -5.4 1.90e+03  -1.6 1.93e-02 5.49e-06f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90r 5.2827206e+05 1.00e+04 6.10e+03  -5.4 7.45e+02  -1.2 5.63e-05 3.42e-02f  1
  91r 5.2830597e+05 1.00e+04 6.49e+03  -5.4 2.11e+03  -1.7 1.26e-02 4.44e-05f  1
  92r 5.6099509e+05 1.00e+04 5.16e+03  -5.4 8.34e+02  -1.3 2.14e-02 1.08e-01f  1
  93r 5.6105272e+05 1.00e+04 5.16e+03  -5.4 2.38e+03  -1.7 2.05e-07 6.75e-05f  1
  94r 5.7684734e+05 1.00e+04 4.70e+03  -5.4 9.32e+02  -1.3 2.65e-02 4.69e-02f  1
  95r 5.7956767e+05 1.00e+04 4.87e+03  -5.4 2.60e+03  -1.8 7.27e-03 2.90e-03f  1
  96r 5.7956850e+05 1.00e+04 4.89e+03  -5.4 1.04e+03  -1.4 1.79e-03 2.21e-06f  1
  97r 5.8749494e+05 1.00e+04 4.71e+03  -5.4 4.01e+02  -0.9 1.34e-01 5.47e-02f  1
  98r 6.1115228e+05 1.00e+04 3.61e+03  -5.4 1.17e+03  -1.4 1.02e-06 5.62e-02f  1
  99r 6.1115372e+05 1.00e+04 3.97e+03  -5.4 3.21e+03  -1.9 6.90e-03 1.25e-06f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100r 6.1614891e+05 1.00e+04 3.85e+03  -5.4 1.30e+03  -1.5 6.59e-03 1.06e-02f  1
 101r 6.1615474e+05 1.00e+04 3.85e+03  -5.4 5.04e+02  -1.0 8.98e-05 3.20e-05f  1
 102r 6.1834518e+05 1.00e+04 4.02e+03  -5.4 1.46e+03  -1.5 1.28e-02 4.17e-03f  1
 103r 6.4403342e+05 1.00e+04 2.89e+03  -5.4 5.65e+02  -1.1 1.17e-04 1.26e-01f  1
 104r 6.4403499e+05 1.00e+04 3.07e+03  -5.4 1.64e+03  -1.6 7.00e-03 2.67e-06f  1
 105r 6.4475146e+05 1.00e+04 4.70e+03  -5.4 6.33e+02  -1.1 2.32e-01 3.14e-03f  1
 106r 6.4984631e+05 1.00e+04 4.87e+03  -5.4 1.81e+03  -1.6 1.56e-02 7.82e-03f  1
 107r 6.5010442e+05 1.00e+04 4.90e+03  -5.4 7.08e+02  -1.2 6.20e-03 1.01e-03f  1
 108r 6.5030890e+05 1.00e+04 4.89e+03  -5.4 1.03e+04  -1.7 4.63e-08 2.56e-04f  1
 109r 6.5147961e+05 1.00e+04 4.94e+03  -5.4 7.95e+02  -1.2 1.25e-02 4.08e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110r 6.5151609e+05 1.00e+04 5.50e+03  -5.4 2.23e+03  -1.7 1.68e-02 4.52e-05f  1
 111r 6.5685359e+05 1.00e+04 5.89e+03  -5.4 8.88e+02  -1.3 6.79e-02 1.66e-02f  1
 112r 6.9046222e+05 1.00e+04 4.28e+03  -5.4 2.48e+03  -1.8 7.40e-07 3.75e-02f  1
 113r 6.9046236e+05 1.00e+04 7.26e+03  -5.4 9.90e+02  -1.3 2.42e-01 3.92e-07f  1
 114r 7.0881524e+05 1.00e+04 6.55e+03  -5.4 2.75e+03  -1.8 4.21e-03 1.85e-02f  1
 115r 7.0881534e+05 1.00e+04 6.72e+03  -5.4 1.11e+03  -1.4 1.45e-02 2.41e-07f  1
 116r 7.1478053e+05 1.00e+04 6.43e+03  -5.4 3.04e+03  -1.9 6.89e-08 5.43e-03f  1
 117r 7.4091486e+05 1.00e+04 5.28e+03  -5.4 1.24e+03  -1.4 4.87e-03 5.85e-02f  1
 118r 7.4182790e+05 1.00e+04 6.80e+03  -5.4 3.36e+03  -1.9 2.93e-02 7.53e-04f  1
 119r 7.4199855e+05 1.00e+04 9.13e+03  -5.4 7.90e+03  -2.4 1.78e-02 5.98e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120r 7.5042433e+05 1.00e+04 1.02e+04  -5.4 3.70e+03  -2.0 2.69e-02 6.31e-03f  1
 121r 7.5995437e+05 1.00e+04 9.75e+03  -5.4 8.50e+03  -2.4 2.14e-08 3.12e-03f  1
 122r 7.5995449e+05 1.00e+04 1.57e+04  -5.4 4.07e+03  -2.0 9.72e-02 7.55e-08f  1
 123r 7.6544588e+05 1.00e+04 1.60e+04  -5.4 9.14e+03  -2.5 3.73e-03 1.66e-03f  1
 124r 7.6555820e+05 1.00e+04 1.64e+04  -5.4 4.47e+03  -2.1 6.56e-03 6.95e-05f  1
 125r 7.6954984e+05 1.00e+04 1.78e+04  -5.4 9.78e+03  -2.6 1.04e-02 1.13e-03f  1
 126r 7.6955053e+05 1.00e+04 1.78e+04  -5.4 4.91e+03  -2.1 2.47e-06 3.85e-07f  1
 127r 7.6955055e+05 1.00e+04 1.78e+04  -5.4 1.05e+04  -2.6 3.30e-07 5.30e-09f  1
 128r 7.8353524e+05 1.00e+04 1.75e+04  -5.4 5.38e+03  -2.2 4.36e-03 7.19e-03f  1
 129r 8.0541346e+05 1.00e+04 1.64e+04  -5.4 1.11e+04  -2.7 2.17e-08 5.42e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130r 8.0541521e+05 1.00e+04 1.64e+04  -5.4 5.82e+03  -2.2 1.84e-05 8.31e-07f  1
 131r 8.0992583e+05 1.00e+04 1.62e+04  -5.4 2.59e+03  -1.8 1.38e-03 4.82e-03f  1
 132r 8.1320922e+05 1.00e+04 1.61e+04  -5.4 6.37e+03  -2.3 9.61e-09 1.43e-03f  1
 133r 8.3575842e+05 1.00e+04 1.65e+04  -5.4 2.89e+03  -1.9 4.45e-02 2.16e-02f  1
 134r 8.5644699e+05 1.00e+04 1.64e+04  -5.4 6.94e+03  -2.3 8.96e-03 8.25e-03f  1
 135r 8.5644749e+05 1.00e+04 1.66e+04  -5.4 3.18e+03  -1.9 4.10e-03 4.33e-07f  1
 136r 8.6032704e+05 1.00e+04 1.80e+04  -5.4 7.51e+03  -2.4 1.39e-02 1.43e-03f  1
 137r 8.6032795e+05 1.00e+04 1.71e+04  -5.4 6.46e+01  -0.1 5.28e-02 3.92e-05f  1
 138r 8.6653986e+05 1.00e+04 1.66e+04  -5.4 1.93e+02  -0.6 1.57e-02 8.94e-02f  1
 139r 8.7575055e+05 1.00e+04 1.60e+04  -5.4 5.68e+02  -1.1 3.26e-02 4.49e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140r 9.2178193e+05 1.00e+04 1.39e+04  -5.4 1.62e+03  -1.6 1.03e-02 7.85e-02f  1
 141r 9.2178217e+05 1.00e+04 1.30e+04  -5.4 6.33e+02  -1.2 2.61e-01 1.07e-06f  1
 142r 9.5614844e+05 1.00e+04 1.13e+04  -5.4 1.80e+03  -1.6 1.10e-06 5.29e-02f  1
 143r 9.5614864e+05 1.00e+04 1.14e+04  -5.4 7.07e+02  -1.2 1.48e-01 7.82e-07f  1
 144r 9.7035865e+05 1.00e+04 1.12e+04  -5.4 2.00e+03  -1.7 2.02e-02 1.97e-02f  1
 145r 9.7035879e+05 1.00e+04 1.12e+04  -5.4 7.90e+02  -1.3 1.06e-02 4.72e-07f  1
 146r 9.8635087e+05 1.00e+04 1.04e+04  -5.4 2.22e+03  -1.7 1.03e-07 2.00e-02f  1
 147r 1.0240538e+06 1.00e+04 8.87e+03  -5.4 8.84e+02  -1.3 3.93e-02 1.18e-01f  1
 148r 1.0240539e+06 1.00e+04 8.87e+03  -5.4 2.45e+03  -1.8 1.80e-06 1.80e-07f  1
 149r 1.0240544e+06 1.00e+04 9.72e+03  -5.4 9.85e+02  -1.4 1.10e-01 1.31e-06f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150r 1.0682457e+06 1.00e+04 9.50e+03  -5.4 2.72e+03  -1.8 5.05e-02 4.49e-02f  1
 151r 1.0682466e+06 1.00e+04 9.50e+03  -5.4 6.57e+03  -2.3 1.38e-07 3.54e-07f  1
 152r 1.1013625e+06 1.00e+04 1.09e+04  -5.4 3.00e+03  -1.9 7.05e-02 3.05e-02f  1
 153r 1.1013626e+06 1.00e+04 1.10e+04  -5.4 1.22e+03  -1.5 1.38e-02 3.84e-07f  1
 154r 1.1058679e+06 1.00e+04 1.11e+04  -5.4 3.31e+03  -1.9 5.99e-03 3.77e-03f  1
 155r 1.1297113e+06 1.00e+04 9.98e+03  -5.4 1.36e+03  -1.5 6.30e-06 4.84e-02f  1
 156r 1.2415039e+06 1.00e+04 6.64e+03  -5.4 3.64e+03  -2.0 3.81e-02 8.49e-02f  1
 157r 1.2415105e+06 1.00e+04 6.64e+03  -5.4 1.50e+03  -1.6 1.53e-06 1.21e-05f  1
 158r 1.2495422e+06 1.00e+04 8.51e+03  -5.4 3.96e+03  -2.0 3.61e-02 5.60e-03f  1
 159r 1.2809898e+06 1.00e+04 7.01e+03  -5.4 1.67e+03  -1.6 3.70e-07 5.21e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160r 1.2845822e+06 1.00e+04 6.84e+03  -5.4 4.34e+03  -2.1 1.70e-06 2.29e-03f  1
 161r 1.2845973e+06 1.00e+04 6.08e+03  -5.4 3.16e+01   0.1 1.10e-01 1.33e-03f  1
 162r 1.2866103e+06 1.00e+04 6.02e+03  -5.4 9.44e+01  -0.3 6.70e-06 5.89e-02f  1
 163r 1.2872100e+06 1.00e+04 5.93e+03  -5.4 2.81e+02  -0.8 4.02e-02 5.91e-03f  1
 164r 1.3092165e+06 1.00e+04 4.91e+03  -5.4 8.21e+02  -1.3 1.32e-03 7.41e-02f  1
 165r 1.3102735e+06 1.00e+04 6.04e+03  -5.4 2.29e+03  -1.8 3.39e-02 1.28e-03f  1
 166r 1.3618876e+06 1.00e+04 3.66e+03  -5.4 9.17e+02  -1.3 5.00e-03 1.56e-01f  1
 167r 1.4239353e+06 1.00e+04 7.18e+02  -5.4 2.52e+03  -1.8 6.72e-06 6.80e-02f  1
 168r 1.4308226e+06 1.00e+04 1.53e+03  -5.4 1.01e+03  -1.4 7.09e-02 1.88e-02f  1
 169r 1.4313425e+06 1.00e+04 1.51e+03  -5.4 2.77e+03  -1.9 1.15e-06 5.18e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170r 1.4328218e+06 1.00e+04 4.47e+03  -5.4 1.13e+03  -1.4 1.70e-01 3.62e-03f  1
 171r 1.4474602e+06 1.00e+04 3.77e+03  -5.4 3.07e+03  -1.9 1.43e-07 1.32e-02f  1
 172r 1.4474715e+06 1.00e+04 3.74e+03  -5.4 2.09e+01   0.3 6.03e-03 1.49e-03f  1
 173r 1.4475290e+06 1.00e+04 3.63e+03  -5.4 7.87e+00   0.7 3.00e-02 2.01e-02f  1
 174r 1.4486531e+06 1.00e+04 2.04e+03  -5.4 2.35e+01   0.3 4.33e-01 1.32e-01f  1
 175r 1.4521231e+06 1.00e+04 1.70e+03  -5.4 7.03e+01  -0.2 1.91e-01 1.36e-01f  1
 176r 1.4709816e+06 1.00e+04 1.20e+03  -5.4 2.10e+02  -0.7 2.00e-01 2.49e-01f  1
 177r 1.5089800e+06 1.00e+04 4.07e+02  -5.4 6.15e+02  -1.2 1.05e-01 1.71e-01f  1
 178r 1.5089846e+06 1.00e+04 2.58e+03  -5.4 1.74e+03  -1.6 7.36e-02 7.29e-06f  1
 179r 1.5354178e+06 1.00e+04 2.24e+03  -5.4 6.86e+02  -1.2 9.95e-02 1.07e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180r 1.6004010e+06 1.00e+04 8.54e+02  -5.4 1.93e+03  -1.7 1.33e-03 9.32e-02f  1
 181r 1.6552767e+06 1.00e+04 8.37e+03  -5.4 7.60e+02  -1.3 8.47e-01 2.00e-01f  1
 182r 1.6656321e+06 1.00e+04 7.87e+03  -5.4 2.11e+03  -1.8 3.48e-06 1.36e-02f  1
 183r 1.6665423e+06 1.00e+04 7.83e+03  -5.4 8.44e+02  -1.3 9.32e-06 2.98e-03f  1
 184r 1.6665425e+06 1.00e+04 7.67e+03  -5.4 5.47e+01   0.0 2.19e-02 8.45e-06f  1
 185r 1.6739382e+06 1.00e+04 6.03e+03  -5.4 1.23e+02  -0.5 2.31e-01 1.66e-01f  1
 186r 1.7239103e+06 1.00e+04 3.65e+03  -5.4 3.64e+02  -1.0 3.97e-04 3.80e-01f  1
 187r 1.7722014e+06 1.00e+04 1.31e+04  -5.4 1.05e+03  -1.4 8.01e-01 1.27e-01f  1
 188r 1.8784070e+06 1.00e+04 1.29e+04  -5.4 2.84e+03  -1.9 1.37e-01 1.03e-01f  1
 189r 1.8784096e+06 1.00e+04 1.44e+04  -5.4 1.15e+03  -1.5 2.02e-01 6.30e-06f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190r 1.8870322e+06 1.00e+04 1.40e+04  -5.4 3.10e+03  -2.0 4.19e-05 7.69e-03f  1
 191r 1.8870514e+06 1.00e+04 1.56e+04  -5.4 1.28e+03  -1.5 1.94e-01 4.14e-05f  1
 192r 1.9353718e+06 1.00e+04 1.33e+04  -5.4 5.00e+02  -1.1 4.10e-06 2.67e-01f  1
 193r 1.9353720e+06 1.00e+04 1.47e+04  -5.4 1.42e+03  -1.6 1.20e-01 4.79e-07f  1
 194r 1.9465866e+06 1.00e+04 1.10e+04  -5.4 5.56e+02  -1.2 6.42e-01 5.60e-02f  1
 195r 1.9465885e+06 1.00e+04 1.20e+04  -5.4 1.58e+03  -1.6 5.89e-02 3.31e-06f  1
 196r 1.9503576e+06 1.00e+04 1.18e+04  -5.4 6.22e+02  -1.2 8.33e-02 1.69e-02f  1
 197r 1.9503883e+06 1.00e+04 1.18e+04  -5.4 1.76e+03  -1.7 5.95e-07 4.85e-05f  1
 198r 1.9744774e+06 1.00e+04 1.06e+04  -5.4 6.96e+02  -1.3 8.72e-02 9.62e-02f  1
 199r 2.0116404e+06 1.00e+04 8.80e+03  -5.4 1.95e+03  -1.7 5.76e-07 5.30e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200r 2.0582438e+06 1.00e+04 7.03e+03  -5.4 7.73e+02  -1.3 1.08e-01 1.68e-01f  1
